index,screen_name,user_id,tweet_text
1,KeiserU,34761436,#SportsMedicine and #FitnessTechnology students “Raise the Bar” with outdoor workouts! KU Instructor took advantage… https://t.co/UcTAUXw0A4
2,hp_romeo2000,38622135,"I'm Sick, Please Keep Me In Prayer. This is How I Feel🐼👊👊👊
.
.
#workout #instagramfitness #motivation #physique… https://t.co/INTjHqncb8"
3,BerrakEsoes,914195880,#likeforlik#bestoftheday#instagood#smile#favorite#photooftheday#repost#repostapp#love#gymlife#gym#dmc#photooftheday… https://t.co/az3X6JkCF2
4,rosezahnn,74662564,The Core of Pilates - https://t.co/9CH7edYrrb
5,TTHIIT,365013341,Check out the latest issue of our FREE Fitness Newsletter! - https://t.co/Zq2VBYFm46
6,USAGayMassage,2946978870,Check out my hot Straight Married Muscle Buddy.... #GayMassage #GayMasseur #GayMasseurs #gay #gaydude https://t.co/J2v9Nnz8A6
7,CoachNicT,367490941,"#Repost @24hourfitnesssunnyvalesport
・・・
#Repost via our awesome GXI May!

After my wonderful 24 Hour Fitness - Sun… https://t.co/mVxgBXxyCM"
8,Tagnix_id,916730082,"Our watchtags fit perfectly on your fitness trackers, GPS watches &amp; bands!! Available in 2 sizes and 6 colours.  We… https://t.co/DUKNP7Wakb"
9,official_EHIFC,2773455045,"#Repost @line_of_fire_photography with @get_repost
・・・
#ehifc #family #love #beautiful #game #football #soccer… https://t.co/ijFKTiloRq"
10,LouisHowe_SandC,798290988,"Is muscle hypertrophy training important for sport performance?
https://t.co/i8046ljNBw"
11,USAGayMassage,2946978870,Check out my hot Straight Married Muscle Buddy - Pic on Right...... #GayMassage #GayMasseur #GayMasseurs #gay… https://t.co/liiUdZl39Q
12,hired_muscle,872430726,Light work. Prehab👍🏾 #fitness #fit #justmove #newcanaan #oxygenfitness #workout #bodybuilding #gym #training #lift… https://t.co/CHjaiE6TA5
13,CooterDGAF,2398638764,My #Back is one of my weakest points I have been working on at the #gym and trying to do as much focus there as pos… https://t.co/h2xo1tqbFF
14,becomeunitednow,1045078140,I added a video to a @YouTube playlist https://t.co/Fuo6CQUHBz Easy Abs Workout for Beginners - HASfit 5 Minute Quick Abs - Easy
