index,screen_name,user_id,tweet_text,length
1,KeiserU,34761436,#SportsMedicine and #FitnessTechnology students “Raise the Bar” with outdoor workouts! KU Instructor took advantage… ,117
4,rosezahnn,74662564,The Core of Pilates - ,22
8,Tagnix_id,916730082,"Our watchtags fit perfectly on your fitness trackers, GPS watches &amp; bands!! Available in 2 sizes and 6 colours.  We… ",121
13,CooterDGAF,2398638764,My #Back is one of my weakest points I have been working on at the #gym and trying to do as much focus there as pos… ,117
20,paulclarketfl,559872703,I just finished cycling 29.26 miles in 1h:49m:51s with #Endomondo #endorphins ,78
22,VictorythruLove,3540651673,A fitness session is not a permission slip to indulge in unhealthy foods. ,74
27,newstermer,390457914,"Doctor, marathon runner reunite after rescue ",45
30,MZAMOJO,105566058,When the intentions of exercising is well oot the window 4 the next 2 months. My Yoga Mat is doubling up nicely as… ,116
34,OutfitLat,1253093550,workout wear 😘 ,15
35,Tequila_Koops,4889557212,The angel's been hitting hard on those oatmeal cookies and Flo did not expect the surprise muscle underneath the sw… ,117
36,EliteTulsa,1679213365,"When it comes to fitness, walking ranks supreme. ",49
38,robys123,16701238,Fantastic Health Benefits of Yoga  ,35
39,docmmiller,4919745501,If you are unwell during the Holidays I wish you a speedy recovery. No-one wants the PANDA to visit you in hospital… ,117
43,yourfitnesspath,232172796,Chris Coburn Fitness: Body Beast Supplement Stack -   | Body Beast Su… ,71
46,MikeODo10916058,4480163715,Cycling club riders 'inches from a fatality' in horrendous close pass - Cycling Weekly ,87
47,CrossFitetown,551938453,🔥 🔥 Etown Fitness Club - Moving Updates 🔥🔥 - ,45
49,kglenncoco,921297049,So blessed to have had this opportunity to become a yoga teacher! The past 10 weeks have been such an amazing exper… ,117
53,abstractfit,959390330,"Legs workout with gliders or towels

Work:
- hamstrings 
- glutes
- core



#legs,… ",84
57,ngomez78,495468964,"Three exercises from my high rep upper body workout! 4 set of each! Try it out! #ngomezmovement 
1st- range lateral… ",117
58,bolduc_m,951642632,yoga porn men at play lesbian milf yoga porn men at play lesbian milf ,70
59,TheArticleTrunk,204959977,Taylor Swift uses music muscle to seek higher payouts for others ,65
65,YogaLoveSpirit,2493874620,"This Yoga Workout will leave you energized, calm and focused while it tightens, trims and sculpts your entire body ",115
67,USAGBavaria,145637360,U.S. Army Recruiting Command recruiting Soldiers who are elite athletes to become part of the new U.S. Army Warrior… ,117
70,CFDirectAction,2804971993,Please welcome Team “Trouble Unders” from CrossFit West Whittier to our roster for the the April 27th FESTIVUS GAME… ,117
72,DuggAesthetics,136510120,"⚠️⚠️ Biggest muscle building myths debunked.....
•
I remember like it was yesterday, 19 years old, and starting to… ",116
74,madcapheiress25,2546532344,#LouiseBrooks has the perfect post-Thanksgiving workout for you. Come see her in action in Diary of a Lost Girl thi… ,117
75,3rinGreen,181134986,Thank you Tamara 😊 &gt;&gt;&gt; The 1 Thing I Never Board an Airplane Without (Hint: It'll Minimize the Germs)… ,112
78,ceo89,18048141,Gym time. ,10
85,runannierun,4051828639,"Go Girl Runis an all women’s half Marathon &amp; 5K running series that currently has races in Oklahoma City, Kansas Ci… ",121
87,TooAthletic,283526167,Most people can't do this workout 😳🔥 #TooAthleticApp ,53
93,Arthur59611540,1431031490,This 80-year-old bodybuilder has some important fitness advice for you ,71
95,BrightonBaths,401810837,Personal coaching is the perfect way to guide and challenge you on your fitness journey! For any enquiries please f… ,117
99,sangresuralma,276591383,I just finished cycling 46.59 km in 2h:12m:47s with #Endomondo #endorphins ,75
104,SussexWineDad,210127239,"Running for me =  perspective and balance.   Suddenly I can see again!  Better able to cope with stress, better abl… ",117
113,USAGBavaria,145637360,U.S. Army Recruiting Command recruiting Soldiers who are elite athletes to become part of the new U.S. Army Warrior… ,117
