index,screen_name,user_id,tweet_text
1,DDoubleUA,325095562,"No #TurkeyTrout this morning but I got my workout in at #OrangeFitness with my favorite oldest niece.

Made room fo… https://t.co/DzKz0UyTlI"
2,FitBottomedMama,138792584,This HIIT workout will have you ready to shred some ice. https://t.co/aScWxoJOrP
3,akgmag,19521483,Government's response to the Cycling &amp; Walking Investment Strategy: safety review - https://t.co/g48zUsqHjS… https://t.co/7FS9u51oXZ
4,WittigWorks,1960574394,"Legs close together giant set here at the in-laws backyard. Banded Feet Forward Squats, DB Jump Squats, right into… https://t.co/7AbpuCCeq7"
5,KatyBentz,17117795,"Missing my family today ❤ 
#Thankful I have a place to go and spend the day at though ❤ Thankful for the people I h… https://t.co/2GNbtS2VAp"
6,TheLongSquawk,3177235976,"Turkey tail. Ingredients: 3 turkeys, upside-down. With burksheri &amp; drjencarrollnd . HAPPY THANKSGIVING!
.
.
.
220st… https://t.co/5zFP7TdQaC"
7,BeyondIntellect,468732024,Wisdom Workout https://t.co/t2Y9yY3FgG
8,themgfitness,166154591,"We are preparing Xmas 🎄 for our lovely customers.
Are we ready for Xmas 🎉 on Wed 5th December at 7 pm. Party start… https://t.co/6e5wbBGvIR"
9,CindyCohen,14966757,Take fitness breaks at work to reduce sedentary time at the desk. #youcandoit https://t.co/81tovZRU8j
10,_TriathlonNews,2835058456,#Triathlon Pactimo Mens XL Cycling One Piece Sleeveless Suit Blue White https://t.co/gwJFyndpW2 #Triathlete https://t.co/jYauisiUrh
11,fitnesswalker63,4803968202,A Night Owl Tries Morning Workouts and New Gear in the Go Get It Guide https://t.co/g2PufvoKPA via @SparkPeople
12,TrshrxD,367102991,gina lynn hidden cam workout gina lynn hidden cam workout https://t.co/bUMFZLFsrp
13,BargainsCycling,2706943309,"#CyclingBargains #discountcode #promotions
All cycling discount codes updated grab a deal while you can.
👉… https://t.co/bx8u9f4cdS"
14,mel_avan,459950289,I am definitely wearing appropriate gym shoes and not my fluffy house slippers. 100 reps of squats because #fitness https://t.co/YxWlTFNTBO
15,crowdolizer,2848450803,#Gayrunner disowned by parents facing #NCAA eligibility issues #CanisiusCollege #cross-countryrunner...… https://t.co/BKmFgCBTFM
16,Shizuma974,343886739,"Risky financing is risking our #health &amp; #climate!  🔥 I want @talanx_en, @talanx, @uniqagroup &amp; @viennainsurance to… https://t.co/Bn4h0oz8Nt"
17,Crystal_Elyse,24350704,"At home, there's a road in a small and relatively new subdivision called Constitution Rd. We passed it everyday on… https://t.co/Y8I3i3ySsF"
18,always_win_fit,361083316,"Happy Thanksgiving to all of our supports and fit fam out there!! We love you and are grateful for you, from Always… https://t.co/WIFROkti64"
19,passivetech,3234182942,Several Garmin fitness trackers have been discounted for Black Friday - https://t.co/EtyRWgCVoX Garmin fitness trac… https://t.co/k7TDAKofgZ
20,MurphyChiro,2194585129,So grateful to be able to share joy and health every day.  People have greatness inside them.  #health… https://t.co/qkrxj3qsuv
21,SoleSquad_,2370801170,"STEAL!!!  

pair of Nike Running Shoes for $29.99

*Go fast*

https://t.co/bXY9yisIxZ https://t.co/2G7FUYKrmh"
