index,screen_name,user_id,tweet_text,length
201,CJGib1,402990996,Chilly 5k ,10
698,TheViralExpo,3064336587,"Rhapsodies of art invites you to a night of thrill with music and instrumentals.

It's The Acoustic Concert 2018

C… ",117
699,TheViralExpo,3064336587,"Tasteful Artraction

Art • Food • Music

Date :4th November,  2018
Time: 2pm
Venue: Adetokunbo Adekola Street,  Vic… ",117
700,TheViralExpo,3064336587,"Rhapsodies of art presents 
Acoustic Concert 2018
Featuring,  music, art, entertainment and more.... 
Date: 21-12-1… ",117
701,TheViralExpo,3064336587,"Going down on the 11th of November 2018 is the a comedy show like no other... 
Short family dream works present:
LI… ",117
702,TheViralExpo,3064336587,Rhapsodies of art  ,19
703,TheViralExpo,3064336587,"Coming through this Sunday is... 
Acapella: My Mic &amp; I 2

You don't want to miss an unusual Comedy show.
This promi… ",121
704,TheViralExpo,3064336587,"It's time for Lagos to experience Trace in the city. 
The Lagos edition will be going at Yabatech tomorrow!!! Brace… ",117
705,TheViralExpo,3064336587,"House of Ajebo presents:
Ajebo Unleashed 5.0 (My girls and I)

Date: 2nd Sept,2018
Venue: Eko hotel and suites 
Tim… ",117
1197,KidPuertoRico,70148583,Gym be done and got me the perfect post workout drank 👌🏽 ,57
1218,gbeanx04,182464896,sisters and yoga and pup and mamma mia and home and thanks ,59
1513,sam_j_warner,142306014,"I loving having goals, not just for my career, but for my personal life too. #traintrackrepeatbeat #shirefit… ",110
1514,sam_j_warner,142306014,"This is guna be pretty darn amazing live... Bring on #Bestival!
",64
2340,jackylockhert,255677181,Come home to find out my mom took my bed out of my room so she could do yoga ,77
2415,Flruyn,1072842349,Only thing I don't like about Garmin is sometimes it doesn't remotely catch my correct HR during all strength worko… ,117
3158,AhBoyfriends,316077461,Top Workouts for Perfect Abs -  ,32
3159,AhBoyfriends,316077461,Top Selling Singles Of All Time -  ,35
3160,AhBoyfriends,316077461,Interesting Harry Potter Pictures -  ,37
3201,alotsayings,1870278194,Best Post-Workout Foods -  ,27
4030,mand_brun,297605205,My son’s fitness regime has had me lolling all over the place 😂 ,64
4599,MachPlasma,3940030888,"Things i'm thankful for:

Turkey, lettuce, epic fortnite gamers, lasagna, vore, children with perfectly bashable sk… ",117
4758,veganfartman,122601656,ive got  bloody headache is there a way i can just speed through this day. speed runner game style.... ,103
4861,MakingHistorre,72134732,my numba 1 sidekick ,20
4862,MakingHistorre,72134732,my greatest accomplishment ,27
4863,MakingHistorre,72134732,went out too much when i was younger #cappysbeerpongqueen ,58
4864,MakingHistorre,72134732,things im partially good at. like bowling and yoga and upsetting people ,72
