index,screen_name,user_id,tweet_text,length
14,falsaai,38740971,Ralph Breaks The Internet is creative and has a powerful message that hasn’t been told by any other Disney movie. ,114
15,falsaai,38740971,Nothing ever tops the joy of packing. ,38
16,falsaai,38740971,The Ostrich Politic. A remarkable short film about “change” and how much we fear it  ,85
17,falsaai,38740971,Yuki Kajiura has been my favorite composer since I was old enough to have a favorite. ,86
18,falsaai,38740971,Ufotable. ,10
19,falsaai,38740971,Fate/Stay Night: Heaven’s Feel is Ufotable’s finest work to date. ,66
31,skymightfalll,33141316,An iconic scene from an iconic film based on an icon series from an iconic duo. ,80
86,EvelynStorey,315773990,In Pictures: The Comedy Wildlife Photography Awards 2018 ,57
87,EvelynStorey,315773990,Well - you can’t deny that these buildings make a visual statement! BBC Arts - BBC Arts - The Brutalist divide: Con… ,117
158,starlettels,28478563,"Just saw this ad for the new Grinch movie and LOL'd. This is EXACTLY me and the wifey.

",88
182,PokeyLuWho,614586420,"#WreckItRalph2 did NOT disappoint!

#WreckItRalph #Disney ",58
209,Bingo_benjamins,393139206,🗣TELL A FRIEND TAG A FRIEND TELL A FRIEND SALT 🏖 LIFE THE MOVIE COMIN TO A HOOD NEAR YOU FEBRUARY 23RD 2019 PREMIER… ,117
262,SitumaFranco,4811668095,See how we shining up in the sky like we meant to be. Keep all these with negative energy away and let those with p… ,117
283,kellenbenetua,1638698640,they really are making the after movie a softcore 50 shades huh ,64
344,jericho1123,308638307,Horror Report Card for THE EYE 3.  #AsianHorror ,48
345,jericho1123,308638307,#HappyThanksgiving ,19
367,pjmstyIes,2598229574,If i see one (1) interviewer asking harry about the after movie in the future istg ,83
368,pjmstyIes,2598229574,"my honeybunch, sugarplum ",25
381,ActorOnTheEdge,56494531,I normally wouldn't be interested At ALL. But Kurt Russel has me wanting to watch this more than anything else on m… ,117
382,ActorOnTheEdge,56494531,"Give and take, give an take, give 'n take. 
#writerslife #edits ",64
466,TinoGwanz,2472354542,Guys please watch American Vandal on Netflix😂😂😂 ,48
471,mikecv2k,169084048,it's tough watching players score fantasy points when your players start later ,79
