index,screen_name,user_id,tweet_text,length
1,petemongeau,872486509,"Date with the devil, after a full Row and strongman workout at CrossFit Zanshin interval training on the Assault Ru… ",117
2,petemongeau,872486509,CrossFit Zanshin gets a mention in this weeks journal.  We pride ourselves on protecting the community. ,104
4,petemongeau,872486509,❤️ it! You are never too old! ,30
5,petemongeau,872486509,Excellent read... precisely why everyone that walks through the doors at CrossFit Zanshin must first complete our b… ,117
8,petemongeau,872486509,Lifting weights as you age is healthy way to extend your golden years.. ,72
12,petemongeau,872486509,This past weekend CrossFit Zanshin members celebrated in style.  The energy was electric and the Tacos were delicio… ,117
13,petemongeau,872486509,I posted a new video to Facebook ,33
18,LisaGfit,312254338,"When I first began my fitness journey, I realized how difficult it can be to start &amp; continue a fitness regimen.… ",118
19,LisaGfit,312254338,"Choosing healthy meals every day can be challenging if you do not have a plan!

",80
21,LisaGfit,312254338,"Too busy to workout? Or just too much excuses? This is for you!

",65
22,LisaGfit,312254338,"It's not just what you eat, but it's when you eat it, and when you rest that impacts your metabolism and determines… ",117
24,LisaGfit,312254338,"When you feel amazing, you show up better for everything, and that you’ll smash the rest of the to-do list with con… ",117
25,LisaGfit,312254338,It's all about the right mindset! 🙌🏻 ,37
26,LisaGfit,312254338,"A friendly reminder to all! ☝🏻
 ",32
27,LisaGfit,312254338,"Happy Weekend fit fam! 💖

Incorporate planned indulgences into your otherwise healthy diet, instead of depriving yo… ",117
29,LisaGfit,312254338,"Do you prefer to do your workouts in the afternoon or at night?

Watch my video on the pros and cons of late aftern… ",117
30,LisaGfit,312254338,"Who else loves Keto Diet? 🙋🏻
#KetoDietFever is real! &gt;&gt;

",63
31,carl_marsh,310778140,Me and muscle Jesus having a rose wine after decorating all day listening to @Cher ,83
32,carl_marsh,310778140,#cher @cher 🌈🌈🌈🌈 ,17
33,carl_marsh,310778140,Love my fiancé he’s so shy when dancing in the kitchen. He’s my private dancer #tinaturner @thegourmetgays 🌈🌈🌈🌈 ,112
41,mike8675309,108763262,"#backday at the gym.  Rough day but the workout went well.  Gym was too busy, stresses me out.  But I got it done!… ",116
42,mike8675309,108763262,#postworkout tonight so hungry I only storied it but here to share.  Mangos and strawberries with bananas and vivol… ,117
46,mike8675309,108763262,#weakpoints today and a quick workout at that.  Just adding more volume to areas I have already hit multiple times… ,116
47,mike8675309,108763262,#pushpull day and hitting a tough cadence for the weights with increasing pauses.  Only 8 days left in the… ,108
49,mike8675309,108763262,#legday and a brutal one at that.  We are in the peak weeks and our coaches are no joke.  3 second eccentrics on th… ,117
50,mike8675309,108763262,#pullday today working on a 3 second eccentric on the movements this week.  Lighten the weight a bit and squeeze th… ,117
51,mike8675309,108763262,#mealprep from Sunday fueling me this week came from the Mellow cookbook from gianna_ciaramello .  Vegan ribs and r… ,117
53,mike8675309,108763262,"#pushday and wondering why do you or don't you go to the gym?
I go because I know it is good for me so I make it a… ",116
55,mike8675309,108763262,"#postworkout meal catch up. 
Today:  A large smoothie
Friday: chili from my meal prep plus a baked potato sprinkled… ",117
56,mike8675309,108763262,#circuittraining today so I took advantage of 9round_applevalley.  So much more room to improve and I expect it to… ,116
57,beach_pilates,1935625399,WHAT TIME IS IT?? its bingo time 🎉  Who doesn't love getting an amazing workout and also winning prizes all at the… ,116
59,beach_pilates,1935625399,It is that time of the year again! ❗️BINGO time❗️ Be sure to come on by and get your bingo card to win amazing priz… ,117
61,beach_pilates,1935625399,Scary Savings continue...(put the candy DOWN!)  ,48
62,beach_pilates,1935625399,"VOTE FOR US on  by 3:00pm today, for 
BEST PILATES STUDIO in TORONTO!! (Question… ",82
65,beach_pilates,1935625399,This Sunday:  Flip Flop Feet Workshop &amp; more...  ,53
67,beach_pilates,1935625399,? Fall into Beach Pilates - What's NEW for YOU!  ,49
70,beach_pilates,1935625399,"Climb every mountain Innsbruck is beautiful hittundsoehne  yummy ginger elderflower lemonade @ Innsbruck, Austria ",114
72,beach_pilates,1935625399,Last day for Christmas in July sale  ,37
75,NatashaRaey,65809027,Yoga retreat flight 1 of 2💕 ,28
76,Stallion3_PH,1183664430,"I'm at St Joseph's Catholic Church (Fullerton) in Perry Hall, MD ",65
79,Stallion3_PH,1183664430,Drinking a Double Duckpin W/ Grapefruit by @unionbrewing @ Sophie's Deck Treats at the Hall — ,94
81,Stallion3_PH,1183664430,"I'm at Grape &amp; Grain Wine &amp; Spirits in Perry Hall, MD ",62
82,Stallion3_PH,1183664430,"I'm at Stanley Black &amp; Decker - Radio Park in Towson, MD ",61
84,Stallion3_PH,1183664430,Drinking an Astrodon by @PeabodyHeights @ Sophie's Deck Treats at the Hall — ,77
85,Stallion3_PH,1183664430,"I'm at Stanley Black &amp; Decker - Radio Park in Towson, MD ",61
86,Stallion3_PH,1183664430,"I'm at Planet Fitness in Perry Hall, MD ",40
87,Stallion3_PH,1183664430,"I'm at Stanley Black &amp; Decker - Radio Park in Towson, MD ",61
88,Stallion3_PH,1183664430,"I'm at Planet Fitness in Perry Hall, MD ",40
91,Stallion3_PH,1183664430,"I'm at Planet Fitness in Perry Hall, MD ",40
92,Stallion3_PH,1183664430,"I'm at Stanley Black &amp; Decker - Radio Park in Towson, MD ",61
93,Stallion3_PH,1183664430,"I'm at Weis Markets - @redbox in Nottingham, MD ",48
96,donald_botos,715592107,Sat morning workout. @quakesmira17 ,35
97,donald_botos,715592107, thanks for the love @Warren_Academy @quakesmira17,50
98,donald_botos,715592107,Love this little dude and all the hard work he puts in on everything he does. ,78
100,donald_botos,715592107,Always room for ice cream after a great workout! @quakesmira17 ,63
101,donald_botos,715592107,My baller's! @quakesmira17 ,27
103,donald_botos,715592107,Got both Adrian and @quakesmira17 getting there workout on. ,60
105,donald_botos,715592107,Day2. Keep working @quakesmira17 @Warren_Academy ,49
107,chairyoga,104773387,"Lakshmi Voelker Chair Yoga to Hold a Teacher Training at New York Open Center January 8-11, 2019… ",98
108,chairyoga,104773387,"What is Bhakti Yoga? Why You Should Try the Yoga of Devotion (even on a chair) 

Lakshmi Voe… ",94
110,chairyoga,104773387,"Gayatri Mantra: The Yoga Chant You Need in Your Gratitude Practice


Do chair yoga on any de… ",94
111,chairyoga,104773387,"This Is the Guide to Yoga and Meditation We Wish We Had Growing Up


Lakshmi Voelker Chair Y… ",94
112,chairyoga,104773387,"What Really Happens in Meditation 

Lakshmi Voelker Chair Yoga Live or One-on-One over Skype… ",94
116,chairyoga,104773387,"Finding Your Peace of Mind Through Yoga  

Lakshmi Voelker Chair Yoga Live or One-on-One ove… ",94
121,chairyoga,104773387,"What Really Happens in Meditation 

Lakshmi Voelker Chair Yoga Live or One-on-One over Skype… ",94
124,chairyoga,104773387,"Three &amp; a Half Acres Yoga, a nonprofit in Harlem, New York: its mission is creating space for healing, connection,… ",120
127,DiscoverAd,361139042,"New trip ✨🚲
London to Bruges is one smooth ride but what an adventure!
Cycling from the capital and crossing the Du… ",117
128,DiscoverAd,361139042,Cycle the length of Portugal on this extraordinary ride through beautiful landscape on an adventure that's known as… ,117
129,DiscoverAd,361139042,"The Lake District is home to beautiful peaks and valleys, spectacular views at every turn and incredible trekking r… ",117
130,DiscoverAd,361139042,"Our Saharan Mini Adventure is the epic bite-sized challenge you've been looking for. Trek the desert in 2019, setti… ",117
133,DiscoverAd,361139042,"Look what's arrived!!✨ That's right, our shiny new brochure packed with adventures far and wide is READY! If you've… ",117
134,DiscoverAd,361139042,Hear about Sarah Knight's chilly #NorthernLights Winter Trek and fall in love with this awesome trekking challenge!… ,117
135,DiscoverAd,361139042,"The #TrekKilimanjaro adventure leaves on the 26th December to kick-start 2019 on a real high, make your new year on… ",117
136,DiscoverAd,361139042,Don't forget to let us know you're interested in taking part in the #MarathonWalk London 2019! Register your intere… ,117
138,DiscoverAd,361139042,"We take care to look after the communities and countries we visit, see how you can be a part of the sustainable tra… ",117
140,Crypto_Dak,192373165,"It's all about the #gainz !  DIOXYME is supplements with morals, no gimmicks, just results.… ",93
144,CumberlandPark,25282118,Back sore? A few stretches just might do the trick!  ,53
145,CumberlandPark,25282118,It's that time of year again! What games are on your holiday wish list?  ,73
146,CumberlandPark,25282118,Don't worry! Be happy and practice these small ways to make your day brighter!  ,80
147,CumberlandPark,25282118,Indoor plants can really SPRUCE up your place!  ,48
148,CumberlandPark,25282118,Writing down events is not old-school! Who is excited to start planning with a journal?  ,89
150,CumberlandPark,25282118,Decluttering can be overwhelming but oh-so worth it! Here's how to get started.  ,81
153,CumberlandPark,25282118,Here's something on the healthier side to satisfy your chocolate cravings! 🍫  ,78
154,CumberlandPark,25282118,"Once you walk, the fun don't stop, right?!  ",44
155,CumberlandPark,25282118,"If you are ever in doubt about working out, think about these benefits!👟   ",75
156,CumberlandPark,25282118,Not a fan of marshmallows? This is the recipe is perfect for you!    ,69
157,CumberlandPark,25282118,Make sure your Cat-Cow yoga pose is perfect by following these steps!   ,72
